country,code,lpi_score
Sub-Saharan Africa (IDA & IBRD countries),TSS,2.44974358974359
Trinidad and Tobago,TTO,2.42
Tunisia,TUN,2.57
Turkiye,TUR,3.15
Tanzania,TZA,2.990185
Uganda,UGA,2.58
Ukraine,UKR,2.83
Upper middle income,UMC,2.71475
Uruguay,URY,2.69
United States,USA,3.89
Uzbekistan,UZB,2.58
"Venezuela, RB",VEN,2.23
Viet Nam,VNM,3.27
World,WLD,2.86625
"Yemen, Rep.",YEM,2.27
South Africa,ZAF,3.38
Zambia,ZMB,2.53
Zimbabwe,ZWE,2.12
