year,reporter_code,reporter_iso,flow,product_code,value_usd
2018,156,,X,8541,28985332579.0
2018,156,,X,8471,153847750902.0
2018,156,,X,8703,8627722215.0
2018,276,,X,8541,22172584.297
2018,276,,X,8541,1627376.91
2018,276,,X,8541,698158.706
2018,276,,X,8541,19847048.682
2018,276,,X,8541,35114.351
2018,276,,X,8541,1078.751
2018,276,,X,8541,115041.18
2018,276,,X,8541,151234.282
2018,276,,X,8541,3867597.849
2018,276,,X,8541,3231966.532
2018,276,,X,8541,1240445.564
2018,276,,X,8541,8340009.946
2018,276,,X,8541,2374.906
2018,276,,X,8541,5975662.923
2018,276,,X,8541,30005334.302
2018,276,,X,8541,117634640.069
2018,276,,X,8541,2877466889.802
2018,276,,X,8541,3954976701.728
2018,276,,X,8541,6986061603.73
2018,276,,X,8541,2374.906
2018,276,,X,8541,5975662.923
2018,276,,X,8541,30005334.302
2018,276,,X,8541,119608358.691
2018,276,,X,8541,2901182615.084
2018,276,,X,8541,3959951086.349
2018,276,,X,8541,7016725432.255
2018,276,,X,8541,22172584.297
2018,276,,X,8541,1627376.91
2018,276,,X,8541,698158.706
2018,276,,X,8541,19847048.682
2018,276,,X,8541,35114.351
2018,276,,X,8541,1078.751
2018,276,,X,8541,115041.18
2018,276,,X,8541,151234.282
2018,276,,X,8541,3867597.849
2018,276,,X,8541,3231966.532
2018,276,,X,8541,1240445.564
2018,276,,X,8541,8340009.946
2018,276,,X,8541,2374.906
2018,276,,X,8541,5975662.923
2018,276,,X,8541,30005334.302
2018,276,,X,8541,117634640.069
2018,276,,X,8541,2877466889.802
2018,276,,X,8541,3954976701.728
2018,276,,X,8541,6986061603.73
2018,276,,X,8541,2374.906
2018,276,,X,8541,5975662.923
2018,276,,X,8541,30005334.302
2018,276,,X,8541,119608358.691
2018,276,,X,8541,2901182615.084
2018,276,,X,8541,3959951086.349
2018,276,,X,8541,7016725432.255
2018,276,,X,8471,61263.135
2018,276,,X,8471,29179.448
2018,276,,X,8471,196912.832
2018,276,,X,8471,287355.415
2018,276,,X,8471,38222.998
2018,276,,X,8471,5905179.006
2018,276,,X,8471,51798.956
2018,276,,X,8471,5995200.959
2018,276,,X,8471,1231229.509
2018,276,,X,8471,6659041.676
2018,276,,X,8471,2026139.07
