typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20210101,2021,52,2021,276,,,X,,0,,,0,,,H5,HS,True,8541,,,,C00,,0,2100,,-1,,0.0,False,-1,,0.0,False,7971921.508,True,0,False,0.0,100278675.91,100278675.91,4,False,True
C,A,20210101,2021,52,2021,276,,,X,,0,,,0,,,H5,HS,True,8541,,,,C00,,0,2200,,-1,,0.0,False,-1,,0.0,False,86.389,True,0,False,0.0,56278.749,56278.749,4,False,True
C,A,20210101,2021,52,2021,276,,,X,,0,,,0,,,H5,HS,True,8541,,,,C04,,0,2100,,-1,,0.0,False,-1,,0.0,False,53931.009,True,0,False,0.0,280874.317,280874.317,4,False,True
C,A,20210101,2021,52,2021,276,,,X,,0,,,0,,,H5,HS,True,8541,,,,C06,,0,2100,,-1,,0.0,False,-1,,0.0,False,1.0,False,0,False,0.0,590.258,590.258,0,False,True
C,A,20210101,2021,52,2021,276,,,X,,0,,,0,,,H5,HS,True,8541,,,,C07,,0,2100,,-1,,0.0,False,-1,,0.0,False,2164.109,True,0,False,0.0,432074.832,432074.832,4,False,True
C,A,20210101,2021,52,2021,276,,,X,,0,,,0,,,H5,HS,True,8541,,,,C03,,0,2100,,-1,,0.0,False,-1,,0.0,False,7915825.391,True,0,False,0.0,99565136.503,99565136.503,4,False,True
C,A,20210101,2021,52,2021,276,,,X,,0,,,0,,,H5,HS,True,8541,,,,C03,,0,2200,,-1,,0.0,False,-1,,0.0,False,86.389,True,0,False,0.0,56278.749,56278.749,4,False,True
C,A,20210101,2021,52,2021,276,,,X,,0,,,0,,,H5,HS,True,8541,,,,C00,,0,1000,,-1,,0.0,False,-1,,0.0,False,8730634.537,True,0,False,0.0,4326069677.562,4326069677.562,4,False,True
C,A,20210101,2021,52,2021,276,,,X,,0,,,0,,,H5,HS,True,8541,,,,C06,,0,1000,,-1,,0.0,False,-1,,0.0,False,2732.26,True,0,False,0.0,8017724.861,8017724.861,4,False,True
C,A,20210101,2021,52,2021,276,,,X,,0,,,0,,,H5,HS,True,8541,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,214731305.951,True,0,False,0.0,8064201402.705,8064201402.705,4,False,True
C,A,20210101,2021,52,2021,276,,,X,,0,,,0,,,H5,HS,True,8541,,,,C03,,0,3200,,-1,,0.0,False,-1,,0.0,False,197095776.339,True,0,False,0.0,3535781870.443,3535781870.443,4,False,True
C,A,20210101,2021,52,2021,276,,,X,,0,,,0,,,H5,HS,True,8541,,,,C04,,0,3200,,-1,,0.0,False,-1,,0.0,False,67786.345,True,0,False,0.0,865788.22,865788.22,4,False,True
C,A,20210101,2021,52,2021,276,,,X,,0,,,0,,,H5,HS,True,8541,,,,C00,,0,3100,,-1,,0.0,False,-1,,0.0,False,542855.634,True,0,False,0.0,3912496.303,3912496.303,4,False,True
C,A,20210101,2021,52,2021,276,,,X,,0,,,0,,,H5,HS,True,8541,,,,C04,,0,1000,,-1,,0.0,False,-1,,0.0,False,2857.117,True,0,False,0.0,1128942.989,1128942.989,4,False,True
C,A,20210101,2021,52,2021,276,,,X,,0,,,0,,,H5,HS,True,8541,,,,C07,,0,3200,,-1,,0.0,False,-1,,0.0,False,33018.562,True,0,False,0.0,17418958.044,17418958.044,4,False,True
C,A,20210101,2021,52,2021,276,,,X,,0,,,0,,,H5,HS,True,8541,,,,C00,,0,9200,,-1,,0.0,False,-1,,0.0,False,289201.415,True,0,False,0.0,79720706.402,79720706.402,4,False,True
C,A,20210101,2021,52,2021,276,,,X,,0,,,0,,,H5,HS,True,8541,,,,C07,,0,0,,-1,,0.0,False,-1,,0.0,False,36805.667,True,0,False,0.0,18418936.721,18418936.721,4,False,True
C,A,20210101,2021,52,2021,276,,,X,,0,,,0,,,H5,HS,True,8541,,,,C07,,0,3100,,-1,,0.0,False,-1,,0.0,False,24.0,False,0,False,0.0,7594.261,7594.261,0,False,True
C,A,20210101,2021,52,2021,276,,,X,,0,,,0,,,H5,HS,True,8541,,,,C00,,0,3200,,-1,,0.0,False,-1,,0.0,False,197196606.469,True,0,False,0.0,3554163567.781,3554163567.781,4,False,True
C,A,20210101,2021,52,2021,276,,,X,,0,,,0,,,H5,HS,True,8541,,,,C06,,0,0,,-1,,0.0,False,-1,,0.0,False,2758.483,True,0,False,0.0,8115266.193,8115266.193,4,False,True
C,A,20210101,2021,52,2021,276,,,X,,0,,,0,,,H5,HS,True,8541,,,,C06,,0,3200,,-1,,0.0,False,-1,,0.0,False,25.223,True,0,False,0.0,96951.073,96951.073,4,False,True
C,A,20210101,2021,52,2021,276,,,X,,0,,,0,,,H5,HS,True,8541,,,,C03,,0,0,,-1,,0.0,False,-1,,0.0,False,214567167.331,True,0,False,0.0,8035391594.266,8035391594.266,4,False,True
C,A,20210101,2021,52,2021,276,,,X,,0,,,0,,,H5,HS,True,8541,,,,C04,,0,0,,-1,,0.0,False,-1,,0.0,False,124574.471,True,0,False,0.0,2275605.526,2275605.526,4,False,True
