prev_value,lpi_score,event_count,avg_tone,avg_goldstein
5347919086.0,3.61,8867,-1.2162178453303096,0.9967971128904929
5836091780.0,3.61,8867,-1.2162178453303096,0.9967971128904929
204222573688.0,3.61,8867,-1.2162178453303096,0.9967971128904929
187904868047.0,3.61,8867,-1.2162178453303096,0.9967971128904929
48695835401.0,3.61,8867,-1.2162178453303096,0.9967971128904929
65880032713.0,3.61,8867,-1.2162178453303096,0.9967971128904929
24385291658.0,3.61,8867,-1.2162178453303096,0.9967971128904929
44687898713.0,3.61,8867,-1.2162178453303096,0.9967971128904929
50072796.388,4.2,3674,-1.7952318546673698,1.1387316276537833
282770636.722,4.2,3674,-1.7952318546673698,1.1387316276537833
12536399189.751,4.2,3674,-1.7952318546673698,1.1387316276537833
37031955447.762,4.2,3674,-1.7952318546673698,1.1387316276537833
31600268.954,4.2,3674,-1.7952318546673698,1.1387316276537833
14225682831.869,4.2,3674,-1.7952318546673698,1.1387316276537833
64108408375.057,4.2,3674,-1.7952318546673698,1.1387316276537833
31600268.954,4.2,3674,-1.7952318546673698,1.1387316276537833
282770636.722,4.2,3674,-1.7952318546673698,1.1387316276537833
12699106451.04,4.2,3674,-1.7952318546673698,1.1387316276537833
37083083906.596,4.2,3674,-1.7952318546673698,1.1387316276537833
50072796.388,4.2,3674,-1.7952318546673698,1.1387316276537833
31600268.954,4.2,3674,-1.7952318546673698,1.1387316276537833
12536399189.751,4.2,3674,-1.7952318546673698,1.1387316276537833
37031955447.762,4.2,3674,-1.7952318546673698,1.1387316276537833
282770636.722,4.2,3674,-1.7952318546673698,1.1387316276537833
14225682831.869,4.2,3674,-1.7952318546673698,1.1387316276537833
64108408375.057,4.2,3674,-1.7952318546673698,1.1387316276537833
12699106451.04,4.2,3674,-1.7952318546673698,1.1387316276537833
282770636.722,4.2,3674,-1.7952318546673698,1.1387316276537833
31600268.954,4.2,3674,-1.7952318546673698,1.1387316276537833
37083083906.596,4.2,3674,-1.7952318546673698,1.1387316276537833
40963.912,4.2,3674,-1.7952318546673698,1.1387316276537833
40963.912,4.2,3674,-1.7952318546673698,1.1387316276537833
4413953.613,4.2,3674,-1.7952318546673698,1.1387316276537833
1014698.534,4.2,3674,-1.7952318546673698,1.1387316276537833
76871575.413,4.2,3674,-1.7952318546673698,1.1387316276537833
82300227.559,4.2,3674,-1.7952318546673698,1.1387316276537833
158293307.676,4.2,3674,-1.7952318546673698,1.1387316276537833
40963.912,4.2,3674,-1.7952318546673698,1.1387316276537833
40963.912,4.2,3674,-1.7952318546673698,1.1387316276537833
76871575.413,4.2,3674,-1.7952318546673698,1.1387316276537833
1014698.534,4.2,3674,-1.7952318546673698,1.1387316276537833
4413953.613,4.2,3674,-1.7952318546673698,1.1387316276537833
82300227.559,4.2,3674,-1.7952318546673698,1.1387316276537833
158293307.676,4.2,3674,-1.7952318546673698,1.1387316276537833
377366666.522,4.2,3674,-1.7952318546673698,1.1387316276537833
14471554969.739,4.2,3674,-1.7952318546673698,1.1387316276537833
169000562.458,4.2,3674,-1.7952318546673698,1.1387316276537833
64568116233.051,4.2,3674,-1.7952318546673698,1.1387316276537833
64568116233.051,4.2,3674,-1.7952318546673698,1.1387316276537833
377366666.522,4.2,3674,-1.7952318546673698,1.1387316276537833
14471554969.739,4.2,3674,-1.7952318546673698,1.1387316276537833
169000562.458,4.2,3674,-1.7952318546673698,1.1387316276537833
6532146276.006,4.2,3674,-1.7952318546673698,1.1387316276537833
41421433.127,4.2,3674,-1.7952318546673698,1.1387316276537833
67087143.388,4.2,3674,-1.7952318546673698,1.1387316276537833
42499072749.933,4.2,3674,-1.7952318546673698,1.1387316276537833
42624635365.482,4.2,3674,-1.7952318546673698,1.1387316276537833
1629.618,4.2,3674,-1.7952318546673698,1.1387316276537833
1629.618,4.2,3674,-1.7952318546673698,1.1387316276537833
1629.618,4.2,3674,-1.7952318546673698,1.1387316276537833
58475472.162,4.2,3674,-1.7952318546673698,1.1387316276537833
42499072749.933,4.2,3674,-1.7952318546673698,1.1387316276537833
6590621748.168,4.2,3674,-1.7952318546673698,1.1387316276537833
41421433.127,4.2,3674,-1.7952318546673698,1.1387316276537833
67087143.388,4.2,3674,-1.7952318546673698,1.1387316276537833
41421433.127,4.2,3674,-1.7952318546673698,1.1387316276537833
200576115.0,4.2,3674,-1.7952318546673698,1.1387316276537833
244801308.168,4.2,3674,-1.7952318546673698,1.1387316276537833
10759458351.527,4.2,3674,-1.7952318546673698,1.1387316276537833
42624635365.482,4.2,3674,-1.7952318546673698,1.1387316276537833
244801308.168,4.2,3674,-1.7952318546673698,1.1387316276537833
14699854548.638,4.2,3674,-1.7952318546673698,1.1387316276537833
462603295.285,4.2,3674,-1.7952318546673698,1.1387316276537833
194940036.898,4.2,3674,-1.7952318546673698,1.1387316276537833
68244608391.392,4.2,3674,-1.7952318546673698,1.1387316276537833
21432578569.261,4.2,3674,-1.7952318546673698,1.1387316276537833
75297835064.463,4.2,3674,-1.7952318546673698,1.1387316276537833
68244608391.392,4.2,3674,-1.7952318546673698,1.1387316276537833
244801308.168,4.2,3674,-1.7952318546673698,1.1387316276537833
14699854548.638,4.2,3674,-1.7952318546673698,1.1387316276537833
75297835064.463,4.2,3674,-1.7952318546673698,1.1387316276537833
